instance,algo,pool,run,wind,our_nd,cec_nd,our_cost_min,cec_cost_min,our_power_max,cec_power_max,d_cost_min_abs,d_cost_min_pct,d_power_max_abs,d_power_max_pct,C_cec_ours,C_ours_cec
ns202,moead,p100_i50,2,"300deg, 21 m/s",300,300,86212947.61536662,86178887.65774724,4259325.80078125,4259081.66015625,34059.95761938393,0.039522391788868766,244.140625,0.005732236300701578,0.82,0.07666666666666666
ns202,moead,p100_i50,3,"270deg, 16 m/s",300,300,86258731.01642972,86228270.45284268,2008084.96484375,2008084.96484375,30460.56358703971,0.035325495254712624,0.0,0.0,0.12666666666666668,0.7433333333333333
ns202,moead,p100_i50,4,"240deg, 13 m/s",300,300,86228909.23868541,86277918.12213148,1074665.4248046875,1074665.4248046875,-49008.88344606757,-0.05680350721570797,0.0,0.0,0.22333333333333333,0.52
ns202,moead,p100_i50,5,"240deg, 7 m/s",149,213,86126677.29602142,86136339.69823866,48424.641784668,48424.641784668,-9662.402217239141,-0.011217567696850625,0.0,0.0,0.18120805369127516,0.755868544600939
ns202,moead,p100_i50,6,"180deg, 15 m/s",300,300,86308212.33051814,86254782.39017753,1654607.68359375,1654223.9375,53429.94034060836,0.06194432222774098,383.74609375,0.02319795313383923,0.86,0.09
ns202,moead,p100_i50,7,"300deg, 16 m/s",300,300,86181625.16916353,86153292.26520878,1989663.7421875,1988411.14453125,28332.90395474434,0.03288661780623094,1252.59765625,0.06299490222105392,0.11,0.6666666666666666
ns202,moead,p100_i50,8,"150deg, 10 m/s",300,300,86192211.82468046,86172652.79735288,404444.4404296875,403266.8989257812,19559.02732758224,0.022697487767468463,1177.5415039063082,0.29200053538810966,0.22333333333333333,0.6366666666666667
ns202,moead,p100_i50,9,"210deg, 11 m/s",300,300,86262250.5234517,86256165.8423985,633597.8779296875,633597.8779296875,6084.681053206325,0.007054198379654212,0.0,0.0,0.5466666666666666,0.31
ns202,nsga2,p100_i50,0,"270deg, 9 m/s",300,300,87108952.07377982,86874908.72063297,220802.7109375,220802.7109375,234043.35314685106,0.2694027039492765,0.0,0.0,0.93,0.03
ns202,nsga2,p100_i50,1,"150deg, 2 m/s",299,300,87145350.83132927,87259480.09885825,8.7685786262,8.7576519176,-114129.26752898097,-0.13079297217870348,0.010926708599999557,0.12476755987572954,0.9096989966555183,0.043333333333333335
